<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,20220120,000000,318.3600000,326.6900000,310.0700000,310.4200000,130.261.430
GAZP,D,20220121,000000,309.4900000,321.9900000,303.5000000,311.6000000,119.002.830
GAZP,D,20220124,000000,310.7800000,314.0000000,280.6000000,294.5900000,236.346.280
GAZP,D,20220125,000000,293.9000000,305.0000000,289.6200000,302.9600000,143.155.040
GAZP,D,20220126,000000,302.9000000,307.7000000,293.7000000,299.6000000,125.060.870
GAZP,D,20220127,000000,296.8500000,330.0000000,294.0000000,325.2500000,216.008.170
GAZP,D,20220128,000000,325.5100000,334.9000000,322.0500000,329.5800000,116.166.660
GAZP,D,20220131,000000,330.9200000,336.4100000,330.5200000,334.8000000,69.903.820
GAZP,D,20220201,000000,334.9400000,336.6300000,325.3000000,330.9500000,67.998.200
GAZP,D,20220202,000000,332.3900000,333.7000000,325.7000000,331.7000000,54.751.740
GAZP,D,20220203,000000,329.9900000,331.0000000,322.3000000,323.7500000,57.592.210
GAZP,D,20220204,000000,325.5000000,334.5000000,320.8800000,324.6000000,88.647.300
GAZP,D,20220207,000000,324.5300000,327.4400000,316.6400000,321.2500000,56.290.530
GAZP,D,20220208,000000,321.4500000,331.8700000,319.0000000,331.7000000,77.965.300
GAZP,D,20220209,000000,332.3000000,336.0000000,330.1800000,335.0800000,63.254.680
GAZP,D,20220210,000000,335.4100000,335.4700000,328.1000000,328.9300000,61.929.870
GAZP,D,20220211,000000,328.9500000,328.9500000,316.2000000,318.1000000,100.750.430
GAZP,D,20220214,000000,314.1000000,324.9000000,303.2500000,321.8500000,121.203.060
GAZP,D,20220215,000000,322.5000000,335.5000000,322.4400000,333.6000000,96.875.770
GAZP,D,20220216,000000,335.8600000,339.9800000,331.6200000,336.5000000,77.128.130
GAZP,D,20220217,000000,336.3600000,336.3600000,322.0400000,323.5100000,102.149.710
GAZP,D,20220218,000000,325.6000000,329.3200000,306.7000000,309.4800000,125.452.970
GAZP,D,20220221,000000,309.4700000,318.9000000,241.0000000,257.3000000,413.243.360
GAZP,D,20220222,000000,253.9500000,284.0700000,246.7000000,283.5100000,324.922.990
GAZP,D,20220224,000000,255.0200000,255.0200000,126.5300000,210.0000000,413.550.130
GAZP,D,20220225,000000,208.0100000,244.9400000,191.6000000,228.0000000,211.877.250
GAZP,D,20220324,000000,251.4100000,278.9000000,232.0000000,258.5100000,78.576.580
GAZP,D,20220325,000000,263.9900000,269.3300000,225.6000000,227.0000000,67.191.030
GAZP,D,20220328,000000,225.2500000,229.4500000,213.0300000,218.6000000,24.680.170
GAZP,D,20220329,000000,220.0000000,226.0000000,206.0000000,208.0000000,40.309.120
GAZP,D,20220330,000000,211.0200000,219.4100000,210.5200000,216.0000000,38.559.960
GAZP,D,20220331,000000,218.9800000,249.0000000,217.1000000,242.4800000,83.862.320
GAZP,D,20220401,000000,245.9000000,258.7000000,242.4800000,251.4000000,50.423.650
GAZP,D,20220404,000000,254.0400000,259.9900000,237.3100000,252.9000000,40.926.330
GAZP,D,20220405,000000,254.0100000,256.3900000,231.4500000,243.5000000,39.850.580
GAZP,D,20220406,000000,238.7300000,247.8000000,234.4100000,239.7000000,20.530.890
GAZP,D,20220407,000000,240.0400000,246.8000000,239.1300000,245.0000000,22.367.990
GAZP,D,20220408,000000,246.7900000,246.7900000,240.0000000,241.0700000,14.799.110
GAZP,D,20220411,000000,241.9000000,242.7800000,234.1600000,234.5500000,15.637.750
GAZP,D,20220412,000000,234.0000000,236.6300000,223.0000000,236.3000000,26.615.790
GAZP,D,20220413,000000,237.9900000,239.6400000,232.1300000,234.8700000,12.663.510
GAZP,D,20220414,000000,234.9000000,235.5000000,221.1000000,222.1100000,21.906.730
GAZP,D,20220415,000000,221.9900000,226.6500000,215.7400000,224.0000000,19.933.030
GAZP,D,20220418,000000,224.2900000,226.0000000,216.6000000,216.9900000,15.584.460
GAZP,D,20220419,000000,216.9000000,222.0000000,207.0000000,220.7200000,30.669.110
GAZP,D,20220420,000000,221.4300000,229.8400000,215.6300000,218.9200000,33.569.140
GAZP,D,20220421,000000,220.0300000,221.0000000,210.2900000,210.2900000,24.292.390
GAZP,D,20220422,000000,210.5000000,215.0000000,207.0100000,208.0000000,28.717.940
GAZP,D,20220425,000000,209.9500000,209.9500000,201.1200000,206.3500000,18.767.820
GAZP,D,20220426,000000,207.9700000,229.7400000,206.5400000,225.8500000,46.484.770
GAZP,D,20220427,000000,226.0400000,237.5000000,221.6100000,237.1500000,48.219.530
GAZP,D,20220428,000000,239.4000000,249.0000000,235.5000000,237.5300000,68.889.640
GAZP,D,20220429,000000,238.5800000,245.4300000,238.0000000,240.4000000,43.392.920
GAZP,D,20220504,000000,241.0100000,244.3900000,233.1200000,234.1600000,20.919.150
GAZP,D,20220505,000000,235.5800000,239.4000000,235.0800000,238.6000000,14.781.210
GAZP,D,20220506,000000,238.5000000,242.9200000,235.1000000,240.1000000,17.969.460
GAZP,D,20220511,000000,239.7700000,243.3500000,237.5800000,241.9900000,16.477.840
GAZP,D,20220512,000000,241.8800000,241.8900000,227.2200000,230.5600000,24.397.760
GAZP,D,20220513,000000,232.1200000,237.2000000,229.0200000,235.5200000,17.291.690
GAZP,D,20220516,000000,234.9900000,246.9500000,233.1100000,244.2000000,28.222.680
GAZP,D,20220517,000000,246.0200000,260.0000000,245.3000000,258.8000000,59.981.560
GAZP,D,20220518,000000,261.0200000,269.4200000,261.0000000,264.8400000,51.077.950
GAZP,D,20220519,000000,268.0000000,269.7800000,262.6500000,266.6800000,24.769.920
GAZP,D,20220520,000000,268.4600000,268.9000000,260.4100000,263.0000000,27.534.560
GAZP,D,20220523,000000,265.4400000,273.0000000,263.0000000,263.0000000,30.528.440
GAZP,D,20220524,000000,262.9900000,267.2900000,250.4000000,265.8000000,52.284.340
GAZP,D,20220525,000000,268.4000000,271.6600000,263.8000000,271.4000000,37.448.790
GAZP,D,20220526,000000,273.0000000,298.3100000,245.0000000,295.8900000,146.238.060
GAZP,D,20220527,000000,300.0000000,305.0000000,293.5300000,294.5000000,53.491.660
GAZP,D,20220530,000000,298.6400000,302.0000000,296.2800000,300.8000000,30.751.410
GAZP,D,20220531,000000,301.8700000,302.0000000,293.5100000,293.7500000,19.483.010
GAZP,D,20220601,000000,293.5100000,299.5000000,290.2500000,297.6900000,22.504.010
GAZP,D,20220602,000000,297.7000000,299.3300000,294.9000000,296.0000000,16.674.500
GAZP,D,20220603,000000,296.1000000,297.2400000,291.0000000,297.0000000,18.742.740
GAZP,D,20220606,000000,298.0000000,299.0000000,295.1200000,296.5000000,14.699.600
GAZP,D,20220607,000000,297.3700000,298.6900000,294.5200000,297.9900000,15.656.500
GAZP,D,20220608,000000,298.8000000,309.6000000,298.1600000,308.0000000,40.345.320
GAZP,D,20220609,000000,309.9700000,310.5200000,303.2000000,306.5000000,26.287.360
GAZP,D,20220610,000000,306.4800000,310.9800000,305.0600000,309.2000000,20.321.460
GAZP,D,20220614,000000,308.9800000,322.7700000,307.0000000,317.6900000,47.441.270
GAZP,D,20220615,000000,318.9900000,322.9900000,314.1100000,316.2000000,33.652.300
GAZP,D,20220616,000000,316.5500000,318.2500000,314.5000000,316.9900000,23.466.240
GAZP,D,20220617,000000,317.5800000,317.7000000,313.5000000,315.5000000,13.072.610
GAZP,D,20220620,000000,316.0700000,318.0000000,311.0000000,311.9800000,21.010.920
GAZP,D,20220621,000000,312.3100000,312.8600000,300.7700000,301.5800000,50.618.050
GAZP,D,20220622,000000,300.1000000,301.9100000,294.3600000,295.8000000,48.668.440
GAZP,D,20220623,000000,295.8100000,304.6000000,291.1000000,303.5000000,46.696.840
GAZP,D,20220624,000000,304.1000000,307.4500000,295.5500000,296.0000000,35.835.180
GAZP,D,20220627,000000,296.0000000,299.8000000,295.1000000,296.2000000,22.091.320
GAZP,D,20220628,000000,296.8000000,303.8800000,293.2200000,297.2000000,39.920.600
GAZP,D,20220629,000000,297.9100000,300.7800000,293.8000000,297.6500000,34.110.040
GAZP,D,20220630,000000,299.6000000,310.8200000,200.0000000,207.0000000,307.937.340
GAZP,D,20220701,000000,200.8400000,201.8500000,186.2000000,192.5000000,113.621.040
GAZP,D,20220704,000000,191.9800000,195.4400000,181.2000000,186.2500000,82.829.080
GAZP,D,20220705,000000,186.3000000,199.8700000,185.2000000,197.3000000,75.951.460
GAZP,D,20220706,000000,197.7800000,205.7800000,194.4400000,195.4200000,82.287.890
GAZP,D,20220707,000000,195.4500000,199.4700000,192.3600000,197.9200000,43.640.940
GAZP,D,20220708,000000,200.0100000,201.8700000,196.5700000,198.0000000,28.708.030
GAZP,D,20220711,000000,198.0100000,199.4300000,188.7900000,188.9000000,46.480.130
GAZP,D,20220712,000000,189.1800000,193.0000000,184.0000000,191.4000000,46.422.510
GAZP,D,20220713,000000,191.2000000,194.0000000,185.3000000,186.0000000,33.168.820
GAZP,D,20220714,000000,186.3000000,188.1000000,183.1100000,184.5500000,29.072.130
GAZP,D,20220715,000000,184.7000000,188.9000000,183.2200000,187.6100000,22.991.690
GAZP,D,20220718,000000,188.9100000,189.5000000,185.5200000,186.7000000,16.920.940
GAZP,D,20220719,000000,186.1000000,189.6000000,184.6000000,189.5100000,22.570.310
GAZP,D,20220720,000000,190.0100000,195.8000000,190.0000000,193.3000000,43.995.650
GAZP,D,20220721,000000,194.6500000,195.4500000,188.0000000,189.5900000,27.751.520
GAZP,D,20220722,000000,189.3000000,192.9500000,188.6000000,192.2500000,17.804.370
GAZP,D,20220725,000000,192.6100000,194.6500000,190.5600000,192.0000000,22.091.280
GAZP,D,20220726,000000,192.0000000,194.4900000,191.2000000,193.9500000,19.947.370
GAZP,D,20220727,000000,194.5100000,197.5000000,194.1000000,196.4900000,28.307.100
GAZP,D,20220728,000000,198.0300000,198.7900000,195.0000000,196.2500000,21.848.760
GAZP,D,20220729,000000,196.2000000,196.8000000,193.5000000,195.2600000,14.108.820
GAZP,D,20220801,000000,194.5000000,194.6900000,192.0000000,192.0000000,13.034.930
GAZP,D,20220802,000000,191.5600000,191.6800000,186.8000000,187.1600000,24.267.570
GAZP,D,20220803,000000,187.5900000,188.9700000,186.3100000,187.0400000,12.005.960
GAZP,D,20220804,000000,187.0400000,187.2200000,184.3000000,184.9000000,13.313.950
GAZP,D,20220805,000000,184.7500000,185.6200000,175.7500000,176.5800000,49.069.120
GAZP,D,20220808,000000,180.0000000,181.8200000,177.2500000,177.8600000,32.498.370
GAZP,D,20220809,000000,178.0100000,181.3800000,175.2000000,181.0400000,24.395.270
GAZP,D,20220810,000000,181.0300000,182.3300000,178.5300000,178.8100000,20.411.200
GAZP,D,20220811,000000,179.4700000,180.6300000,173.5100000,174.1000000,26.740.660
GAZP,D,20220812,000000,174.5000000,175.8800000,172.2900000,174.3600000,20.387.000
GAZP,D,20220815,000000,174.0600000,175.5000000,172.4000000,174.8000000,18.459.840
GAZP,D,20220816,000000,175.4000000,181.6100000,174.7000000,181.3000000,33.028.840
GAZP,D,20220817,000000,181.9000000,182.4900000,176.4000000,176.5000000,24.163.520
GAZP,D,20220818,000000,176.4000000,179.3700000,175.5000000,178.8700000,16.013.520
GAZP,D,20220819,000000,178.7800000,178.9000000,176.6000000,177.6000000,9.186.770
GAZP,D,20220822,000000,177.4000000,182.2000000,176.8800000,181.7000000,22.743.510
GAZP,D,20220823,000000,182.2800000,185.8000000,182.1000000,184.3000000,26.881.370
GAZP,D,20220824,000000,184.6900000,186.6600000,182.1900000,182.8300000,17.546.040
GAZP,D,20220825,000000,183.0100000,184.6000000,180.8000000,181.9000000,14.878.330
GAZP,D,20220826,000000,181.8000000,184.2000000,180.5000000,183.6200000,12.987.730
GAZP,D,20220829,000000,183.1400000,190.0000000,182.6500000,190.0000000,30.524.050
GAZP,D,20220830,000000,190.4500000,204.2000000,190.4500000,204.0000000,112.456.600
GAZP,D,20220831,000000,241.8200000,275.9600000,241.8200000,254.9000000,239.153.230
GAZP,D,20220901,000000,258.0000000,259.8500000,247.6200000,249.1100000,83.245.830
GAZP,D,20220902,000000,249.6700000,253.9500000,246.2200000,252.8000000,37.717.530
GAZP,D,20220905,000000,251.0000000,252.1100000,248.5500000,250.0000000,30.105.590
GAZP,D,20220906,000000,249.9900000,250.2000000,241.0000000,246.0000000,51.474.990
GAZP,D,20220907,000000,245.8000000,245.8000000,241.5500000,241.5500000,31.427.210
GAZP,D,20220908,000000,241.5500000,245.3000000,237.8400000,243.9500000,39.048.150
GAZP,D,20220909,000000,244.4100000,247.2000000,242.1600000,245.3400000,27.159.830
GAZP,D,20220912,000000,243.9800000,247.0000000,241.0600000,243.3000000,31.161.380
GAZP,D,20220913,000000,243.9000000,245.2900000,241.8000000,242.6400000,21.615.440
GAZP,D,20220914,000000,242.2900000,243.3900000,240.0000000,243.3200000,19.813.560
GAZP,D,20220915,000000,243.3300000,244.3000000,241.9100000,243.6800000,22.149.890
GAZP,D,20220916,000000,243.6700000,248.2000000,241.8300000,243.8000000,37.338.570
GAZP,D,20220919,000000,243.2000000,245.9100000,242.7100000,244.2100000,21.276.160
GAZP,D,20220920,000000,242.3500000,243.4500000,200.0100000,221.1500000,212.899.230
GAZP,D,20220921,000000,196.4900000,218.7800000,192.0000000,214.0700000,98.217.480
